Province,Latitude,Longitude
จังหวัดอำนาจเจริญ,15.7443,104.4211
จังหวัดอำนาจเจริญ,15.7458,104.4211
จังหวัดอำนาจเจริญ,15.7513,104.4268
จังหวัดอำนาจเจริญ,15.7491,104.4325
จังหวัดอำนาจเจริญ,15.7515,104.4361
จังหวัดอำนาจเจริญ,15.7548,104.4359
จังหวัดอำนาจเจริญ,15.7597,104.4328
จังหวัดอำนาจเจริญ,15.7642,104.4334
จังหวัดอำนาจเจริญ,15.7666,104.4303
จังหวัดอำนาจเจริญ,15.7698,104.4312
จังหวัดอำนาจเจริญ,15.7704,104.4278
จังหวัดอำนาจเจริญ,15.7773,104.4317
จังหวัดอำนาจเจริญ,15.779,104.4347
จังหวัดอำนาจเจริญ,15.7808,104.4337
จังหวัดอำนาจเจริญ,15.7855,104.435
จังหวัดอำนาจเจริญ,15.7905,104.4332
จังหวัดอำนาจเจริญ,15.8046,104.4423
จังหวัดอำนาจเจริญ,15.8088,104.4378
จังหวัดอำนาจเจริญ,15.8118,104.4374
จังหวัดอำนาจเจริญ,15.8115,104.4418
จังหวัดอำนาจเจริญ,15.8152,104.4422
จังหวัดอำนาจเจริญ,15.8199,104.4477
จังหวัดอำนาจเจริญ,15.8307,104.4501
จังหวัดอำนาจเจริญ,15.836,104.4542
จังหวัดอำนาจเจริญ,15.842,104.4627
จังหวัดอำนาจเจริญ,15.852,104.4581
จังหวัดอำนาจเจริญ,15.8571,104.4589
จังหวัดอำนาจเจริญ,15.8619,104.452
จังหวัดอำนาจเจริญ,15.866,104.4502
จังหวัดอำนาจเจริญ,15.8692,104.4513
จังหวัดอำนาจเจริญ,15.8736,104.4591
จังหวัดอำนาจเจริญ,15.8785,104.4541
จังหวัดอำนาจเจริญ,15.895,104.4613
จังหวัดอำนาจเจริญ,15.8937,104.4577
จังหวัดอำนาจเจริญ,15.8995,104.4563
จังหวัดอำนาจเจริญ,15.9011,104.4695
จังหวัดอำนาจเจริญ,15.9074,104.4717
จังหวัดอำนาจเจริญ,15.9103,104.4671
จังหวัดอำนาจเจริญ,15.9164,104.471
จังหวัดอำนาจเจริญ,15.9248,104.4794
จังหวัดอำนาจเจริญ,15.9322,104.4838
จังหวัดอำนาจเจริญ,15.9316,104.4873
